Date,Action,Instrument,AssetType,Quantity,Price,Fees,Tax,Currency
2023-01-05,BUY,AAPL,stock,14,140.0,3.9,0.0,USD
2023-01-05,BUY,ETF_EU,fund,6,100.0,3.9,0.0,EUR
2023-01-05,BUY,BOND_US,bond,9,95.0,3.9,0.0,USD
2023-01-12,SELL,AAPL,stock,6,139.48563510976038,3.9,0.0,USD
2023-01-12,SELL,ETF_EU,fund,6,100.59449502946825,3.9,0.0,EUR
2023-01-12,SELL,BOND_US,bond,5,94.67395653798582,3.9,0.0,USD
2023-02-02,BUY,AAPL,stock,11,140.0,3.9,0.0,USD
2023-02-02,BUY,ETF_EU,fund,13,100.0,3.9,0.0,EUR
2023-02-02,BUY,BOND_US,bond,8,95.0,3.9,0.0,USD
2023-02-09,SELL,AAPL,stock,5,140.88734393820297,3.9,0.0,USD
2023-02-09,SELL,ETF_EU,fund,4,103.44002841149207,3.9,0.0,EUR
2023-02-09,SELL,BOND_US,bond,7,97.78881102257279,3.9,0.0,USD
2023-02-23,DIV,ETF_EU,fund,0,0.0,0.0,1.08,EUR
2023-03-02,BUY,AAPL,stock,14,140.0,3.9,0.0,USD
2023-03-02,BUY,ETF_EU,fund,14,100.0,3.9,0.0,EUR
2023-03-02,BUY,BOND_US,bond,7,95.0,3.9,0.0,USD
2023-03-09,SELL,AAPL,stock,8,141.45762807598504,3.9,0.0,USD
2023-03-09,SELL,ETF_EU,fund,3,101.2806244939589,3.9,0.0,EUR
2023-03-09,SELL,BOND_US,bond,5,93.89013914318268,3.9,0.0,USD
2023-03-23,DIV,ETF_EU,fund,0,0.0,0.0,2.4,EUR
2023-03-30,DIV,ETF_EU,fund,0,0.0,0.0,2.4,EUR
2023-04-06,BUY,AAPL,stock,13,140.0,3.9,0.0,USD
2023-04-06,BUY,ETF_EU,fund,11,100.0,3.9,0.0,EUR
2023-04-06,BUY,BOND_US,bond,5,95.0,3.9,0.0,USD
2023-04-13,SELL,AAPL,stock,4,142.91701389795216,3.9,0.0,USD
2023-04-13,SELL,ETF_EU,fund,10,100.62409405666592,3.9,0.0,EUR
2023-04-13,SELL,BOND_US,bond,2,93.6512272892608,3.9,0.0,USD
2023-04-27,DIV,ETF_EU,fund,0,0.0,0.0,2.52,EUR
2023-05-04,BUY,AAPL,stock,5,140.0,3.9,0.0,USD
2023-05-04,BUY,ETF_EU,fund,10,100.0,3.9,0.0,EUR
2023-05-04,BUY,BOND_US,bond,9,95.0,3.9,0.0,USD
2023-05-11,SELL,AAPL,stock,7,145.06067064046198,3.9,0.0,USD
2023-05-11,SELL,ETF_EU,fund,6,98.3038054830872,3.9,0.0,EUR
2023-05-11,SELL,BOND_US,bond,6,99.70321589419335,3.9,0.0,USD
2023-05-25,DIV,ETF_EU,fund,0,0.0,0.0,3.0,EUR
2023-06-01,BUY,AAPL,stock,9,140.0,3.9,0.0,USD
2023-06-01,BUY,ETF_EU,fund,8,100.0,3.9,0.0,EUR
2023-06-01,BUY,BOND_US,bond,7,95.0,3.9,0.0,USD
2023-06-08,SELL,AAPL,stock,4,146.6991648490672,3.9,0.0,USD
2023-06-08,SELL,ETF_EU,fund,3,99.16350802336477,3.9,0.0,EUR
2023-06-08,SELL,BOND_US,bond,2,97.7267287817477,3.9,0.0,USD
2023-06-22,DIV,ETF_EU,fund,0,0.0,0.0,3.6,EUR
