Date,Instrument,ClosePrice
2023-01-01,AAPL,139.56
2023-01-01,ETF_EU,102.5
2023-01-01,BOND_US,95.99
2023-01-08,AAPL,138.48
2023-01-08,ETF_EU,103.0
2023-01-08,BOND_US,95.65
2023-01-15,AAPL,142.17
2023-01-15,ETF_EU,100.98
2023-01-15,BOND_US,94.82
2023-01-22,AAPL,141.92
2023-01-22,ETF_EU,101.42
2023-01-22,BOND_US,96.95
2023-01-29,AAPL,139.71
2023-01-29,ETF_EU,103.48
2023-01-29,BOND_US,95.28
2023-02-05,AAPL,142.8
2023-02-05,ETF_EU,101.68
2023-02-05,BOND_US,93.47
2023-02-12,AAPL,144.92
2023-02-12,ETF_EU,104.72
2023-02-12,BOND_US,95.79
2023-02-19,AAPL,146.2
2023-02-19,ETF_EU,107.43
2023-02-19,BOND_US,93.9
2023-02-26,AAPL,150.4
2023-02-26,ETF_EU,107.91
2023-02-26,BOND_US,95.41
2023-03-05,AAPL,153.56
2023-03-05,ETF_EU,109.63
2023-03-05,BOND_US,96.06
2023-03-12,AAPL,154.15
2023-03-12,ETF_EU,112.03
2023-03-12,BOND_US,95.12
2023-03-19,AAPL,158.53
2023-03-19,ETF_EU,113.78
2023-03-19,BOND_US,94.17
2023-03-26,AAPL,161.2
2023-03-26,ETF_EU,114.52
2023-03-26,BOND_US,95.61
2023-04-02,AAPL,164.16
2023-04-02,ETF_EU,112.72
2023-04-02,BOND_US,96.12
2023-04-09,AAPL,168.53
2023-04-09,ETF_EU,112.28
2023-04-09,BOND_US,97.05
2023-04-16,AAPL,168.27
2023-04-16,ETF_EU,112.58
2023-04-16,BOND_US,97.77
2023-04-23,AAPL,169.52
2023-04-23,ETF_EU,111.47
2023-04-23,BOND_US,99.16
2023-04-30,AAPL,166.87
2023-04-30,ETF_EU,110.01
2023-04-30,BOND_US,97.19
2023-05-07,AAPL,164.51
2023-05-07,ETF_EU,110.41
2023-05-07,BOND_US,98.2
2023-05-14,AAPL,167.75
2023-05-14,ETF_EU,108.79
2023-05-14,BOND_US,100.41
2023-05-21,AAPL,170.66
2023-05-21,ETF_EU,108.84
2023-05-21,BOND_US,103.08
2023-05-28,AAPL,175.7
2023-05-28,ETF_EU,107.78
2023-05-28,BOND_US,102.98
2023-06-04,AAPL,180.32
2023-06-04,ETF_EU,109.51
2023-06-04,BOND_US,101.17
2023-06-11,AAPL,183.76
2023-06-11,ETF_EU,111.86
2023-06-11,BOND_US,102.94
2023-06-18,AAPL,187.43
2023-06-18,ETF_EU,114.23
2023-06-18,BOND_US,101.84
2023-06-25,AAPL,185.89
2023-06-25,ETF_EU,115.57
2023-06-25,BOND_US,104.43
2023-07-02,AAPL,185.11
2023-07-02,ETF_EU,116.66
2023-07-02,BOND_US,105.9
2023-07-09,AAPL,185.6
2023-07-09,ETF_EU,118.49
2023-07-09,BOND_US,108.55
2023-07-16,AAPL,187.68
2023-07-16,ETF_EU,119.31
2023-07-16,BOND_US,108.76
2023-07-23,AAPL,189.34
2023-07-23,ETF_EU,119.05
2023-07-23,BOND_US,108.71
2023-07-30,AAPL,190.59
2023-07-30,ETF_EU,117.06
2023-07-30,BOND_US,107.78
2023-08-06,AAPL,191.95
2023-08-06,ETF_EU,117.25
2023-08-06,BOND_US,107.42
2023-08-13,AAPL,195.12
2023-08-13,ETF_EU,118.97
